Row Index,Predicted Category,Similarity Score (%),Analysis
0,Data Science,46.85,🔴 Needs improvement
1,Data Science,63.77,🟡 Good match
2,Data Science,72.4,🟡 Good match
3,Data Science,48.83,🔴 Needs improvement
4,Java Developer,36.12,🔴 Needs improvement
5,Data Science,68.11,🟡 Good match
6,Data Science,59.79,🔴 Needs improvement
7,Data Science,63.41,🟡 Good match
8,Data Science,55.86,🔴 Needs improvement
9,Data Science,59.44,🔴 Needs improvement
10,Data Science,46.85,🔴 Needs improvement
11,Data Science,63.77,🟡 Good match
12,Data Science,72.4,🟡 Good match
13,Data Science,48.83,🔴 Needs improvement
14,Java Developer,36.12,🔴 Needs improvement
15,Data Science,68.11,🟡 Good match
16,Data Science,59.79,🔴 Needs improvement
17,Data Science,63.41,🟡 Good match
18,Data Science,55.86,🔴 Needs improvement
19,Data Science,59.44,🔴 Needs improvement
20,Data Science,46.85,🔴 Needs improvement
21,Data Science,63.77,🟡 Good match
22,Data Science,72.4,🟡 Good match
23,Data Science,48.83,🔴 Needs improvement
24,Java Developer,36.12,🔴 Needs improvement
25,Data Science,68.11,🟡 Good match
26,Data Science,59.79,🔴 Needs improvement
27,Data Science,63.41,🟡 Good match
28,Data Science,55.86,🔴 Needs improvement
29,Data Science,59.44,🔴 Needs improvement
30,Data Science,46.85,🔴 Needs improvement
31,Data Science,63.77,🟡 Good match
32,Data Science,72.4,🟡 Good match
33,Data Science,48.83,🔴 Needs improvement
34,Java Developer,36.12,🔴 Needs improvement
35,Data Science,68.11,🟡 Good match
36,Data Science,59.79,🔴 Needs improvement
37,Data Science,63.41,🟡 Good match
38,Data Science,55.86,🔴 Needs improvement
39,Data Science,59.44,🔴 Needs improvement
40,HR,54.5,🔴 Needs improvement
41,HR,30.97,🔴 Needs improvement
42,HR,66.19,🟡 Good match
43,HR,73.66,🟡 Good match
44,HR,73.66,🟡 Good match
45,HR,65.05,🟡 Good match
46,HR,75.04,🟡 Good match
47,HR,43.14,🔴 Needs improvement
48,HR,35.69,🔴 Needs improvement
49,HR,49.52,🔴 Needs improvement
50,HR,41.64,🔴 Needs improvement
51,HR,54.5,🔴 Needs improvement
52,HR,30.97,🔴 Needs improvement
53,HR,66.19,🟡 Good match
54,HR,73.66,🟡 Good match
55,HR,73.66,🟡 Good match
56,HR,65.05,🟡 Good match
57,HR,75.04,🟡 Good match
58,HR,43.14,🔴 Needs improvement
59,HR,35.69,🔴 Needs improvement
60,HR,49.52,🔴 Needs improvement
61,HR,41.64,🔴 Needs improvement
62,HR,54.5,🔴 Needs improvement
63,HR,30.97,🔴 Needs improvement
64,HR,66.19,🟡 Good match
65,HR,73.66,🟡 Good match
66,HR,73.66,🟡 Good match
67,HR,65.05,🟡 Good match
68,HR,75.04,🟡 Good match
69,HR,43.14,🔴 Needs improvement
70,HR,35.69,🔴 Needs improvement
71,HR,49.52,🔴 Needs improvement
72,HR,41.64,🔴 Needs improvement
73,HR,54.5,🔴 Needs improvement
74,HR,30.97,🔴 Needs improvement
75,HR,66.19,🟡 Good match
76,HR,73.66,🟡 Good match
77,HR,73.66,🟡 Good match
78,HR,65.05,🟡 Good match
79,HR,75.04,🟡 Good match
80,HR,43.14,🔴 Needs improvement
81,HR,35.69,🔴 Needs improvement
82,HR,49.52,🔴 Needs improvement
83,HR,41.64,🔴 Needs improvement
84,Advocate,57.86,🔴 Needs improvement
85,Java Developer,14.5,🔴 Needs improvement
86,Java Developer,11.82,🔴 Needs improvement
87,Java Developer,21.11,🔴 Needs improvement
88,Java Developer,17.07,🔴 Needs improvement
89,HR,24.64,🔴 Needs improvement
90,Testing,16.84,🔴 Needs improvement
91,Advocate,67.6,🟡 Good match
92,Advocate,57,🔴 Needs improvement
93,Testing,18.54,🔴 Needs improvement
94,Advocate,57.86,🔴 Needs improvement
95,Java Developer,14.5,🔴 Needs improvement
96,Java Developer,11.82,🔴 Needs improvement
97,Java Developer,21.11,🔴 Needs improvement
98,Java Developer,17.07,🔴 Needs improvement
99,HR,24.64,🔴 Needs improvement
100,Testing,16.84,🔴 Needs improvement
101,Advocate,67.6,🟡 Good match
102,Advocate,57,🔴 Needs improvement
103,Testing,18.54,🔴 Needs improvement
104,Arts,55.24,🔴 Needs improvement
105,Arts,60.32,🟡 Good match
106,Arts,51.04,🔴 Needs improvement
107,Arts,55.03,🔴 Needs improvement
108,Arts,46.79,🔴 Needs improvement
109,Arts,53.79,🔴 Needs improvement
110,Arts,55.24,🔴 Needs improvement
111,Arts,60.32,🟡 Good match
112,Arts,51.04,🔴 Needs improvement
113,Arts,55.03,🔴 Needs improvement
114,Arts,46.79,🔴 Needs improvement
115,Arts,53.79,🔴 Needs improvement
116,Arts,55.24,🔴 Needs improvement
117,Arts,60.32,🟡 Good match
118,Arts,51.04,🔴 Needs improvement
119,Arts,55.03,🔴 Needs improvement
120,Arts,46.79,🔴 Needs improvement
121,Arts,53.79,🔴 Needs improvement
122,Arts,55.24,🔴 Needs improvement
123,Arts,60.32,🟡 Good match
124,Arts,51.04,🔴 Needs improvement
125,Arts,55.03,🔴 Needs improvement
126,Arts,46.79,🔴 Needs improvement
127,Arts,53.79,🔴 Needs improvement
128,Arts,55.24,🔴 Needs improvement
129,Arts,60.32,🟡 Good match
